Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1097	0.3675	0.0968
NoPenSynth	1.0586	0.3678	0.1113
PureSynth	1.2260	0.3937	0.0239
Matching	1.4245	0.4470	0.0251
OptMatching	1.1038	0.3499	0.0361
PenSynth_bc	1.1061	0.3534	0.0338
NoPenSynth_bc	1.0555	0.3508	0.0315
PureSynth_bc	1.2261	0.3943	0.0198
Matching_bc	1.4128	0.4454	0.0216
OptMatching_bc	1.0941	0.3464	0.0299
