Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1800	0.4190	0.1336
NoPenSynth	1.1533	0.4416	0.2150
PureSynth	1.1545	0.4184	0.1653
Matching	1.5478	0.5226	0.0442
OptMatching	1.1704	0.4051	0.0537
PenSynth_bc	1.1627	0.4005	0.0072
NoPenSynth_bc	1.1332	0.3950	0.0033
PureSynth_bc	1.1443	0.3972	0.0047
Matching_bc	1.4097	0.4797	0.0026
OptMatching_bc	1.1124	0.3876	0.0040
