Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1389	0.3840	0.0266
NoPenSynth	1.0931	0.3763	0.0194
PureSynth	1.1549	0.3883	0.0242
Matching	1.4821	0.4953	0.0284
OptMatching	1.1287	0.3848	0.0227
PenSynth_bc	1.1423	0.3922	0.0299
NoPenSynth_bc	1.0994	0.3838	0.0287
PureSynth_bc	1.1599	0.3997	0.0272
Matching_bc	1.4155	0.4832	0.0307
OptMatching_bc	1.0980	0.3809	0.0238
