Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1657	0.3928	0.0122
NoPenSynth	1.1285	0.3846	0.0050
PureSynth	1.1400	0.3839	0.0062
Matching	1.5475	0.5221	0.0006
OptMatching	1.1681	0.3991	0.0010
PenSynth_bc	1.1613	0.4016	0.0124
NoPenSynth_bc	1.1332	0.3949	0.0061
PureSynth_bc	1.1443	0.3973	0.0075
Matching_bc	1.4096	0.4798	0.0053
OptMatching_bc	1.1143	0.3876	0.0087
