Row	RMSEindiv	RMSEatt	Bias
PenSynth	  1.2938	  0.4444	0.0043
NoPenSynth	  1.2771	  0.4417	0.0018
Matching	  1.9044	  0.6628	0.0141
OptMatching	  1.3417	  0.4773	0.0216
PenSynth_bc	615.5282	204.1012	1.3761
Synth_bc	615.5282	204.1012	1.3761
Matching_bc	615.5282	204.1012	1.3761
OptMatching_bc	615.5282	204.1012	1.3761
