Row	RMSEindiv	RMSEatt	Bias
PenSynth	  1.6743	  1.0754	0.9578
NoPenSynth	  1.8029	  1.3367	1.2590
Matching	  2.0781	  1.0396	0.7961
OptMatching	  1.6060	  0.9589	0.8180
PenSynth_bc	629.1513	208.4170	1.8347
Synth_bc	629.1513	208.4170	1.8347
Matching_bc	629.1513	208.4170	1.8347
OptMatching_bc	629.1513	208.4170	1.8347
