Row	RMSEindiv	RMSEatt	Bias
PenSynth	  1.5282	  0.8733	0.7352
NoPenSynth	  1.5802	  1.0232	0.9206
Matching	  1.9915	  0.8852	0.5869
OptMatching	  1.4928	  0.7783	0.6059
PenSynth_bc	615.6935	204.1521	1.3779
Synth_bc	615.6935	204.1521	1.3779
Matching_bc	615.6935	204.1521	1.3779
OptMatching_bc	615.6935	204.1521	1.3779
