Row	RMSEindiv	RMSEatt	Bias
PenSynth	  1.3142	  0.4926	0.2046
NoPenSynth	  1.2981	  0.4981	0.2287
Matching	  1.9046	  0.6791	0.1580
OptMatching	  1.3542	  0.5109	0.1719
PenSynth_bc	604.3657	200.4454	1.1232
Synth_bc	604.3657	200.4454	1.1232
Matching_bc	604.3657	200.4454	1.1232
OptMatching_bc	604.3657	200.4454	1.1232
