Row	RMSEindiv	RMSEatt	Bias
PenSynth	  1.4716	  0.7857	0.6335
NoPenSynth	  1.4957	  0.8895	0.7700
Matching	  1.9620	  0.8253	0.4942
OptMatching	  1.4528	  0.7083	0.5144
PenSynth_bc	610.0320	202.3265	1.2269
Synth_bc	610.0320	202.3265	1.2269
Matching_bc	610.0320	202.3265	1.2269
OptMatching_bc	610.0320	202.3265	1.2269
