Row	RMSEindiv	RMSEatt	Bias
PenSynth	  1.5877	  0.9592	0.8310
NoPenSynth	  1.6681	  1.1520	1.0616
Matching	  2.0242	  0.9465	0.6738
OptMatching	  1.5390	  0.8512	0.6913
PenSynth_bc	621.2448	205.9262	1.5498
Synth_bc	621.2448	205.9262	1.5498
Matching_bc	621.2448	205.9262	1.5498
OptMatching_bc	621.2448	205.9262	1.5498
