Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.2564	0.5161	0.1948
NoPenSynth	1.2408	0.5429	0.2657
PureSynth	1.2390	0.5203	0.2283
Matching	1.5585	0.5754	0.0709
OptMatching	1.2586	0.5048	0.0948
PenSynth_bc	1.3122	0.5402	0.0030
NoPenSynth_bc	1.2928	0.5348	0.0031
PureSynth_bc	1.3024	0.5385	0.0013
Matching_bc	1.4476	0.5772	0.0052
OptMatching_bc	1.2693	0.5309	0.0012
