Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.2664	0.4661	0.0117
NoPenSynth	1.2365	0.4605	0.0027
PureSynth	1.2372	0.4603	0.0027
Matching	1.6468	0.6093	0.0291
OptMatching	1.3201	0.5302	0.0147
PenSynth_bc	1.5682	0.6724	0.0137
NoPenSynth_bc	1.5616	0.6700	0.0114
PureSynth_bc	1.5620	0.6702	0.0117
Matching_bc	1.6502	0.6954	0.0253
OptMatching_bc	1.5481	0.6675	0.0089
