Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.2062	0.4777	0.0857
NoPenSynth	1.1662	0.4796	0.1413
PureSynth	1.2449	0.4735	0.0281
Matching	1.4767	0.5323	0.0084
OptMatching	1.2043	0.4814	0.0201
PenSynth_bc	1.2142	0.4767	0.0025
NoPenSynth_bc	1.1719	0.4612	0.0052
PureSynth_bc	1.2555	0.4891	0.0067
Matching_bc	1.4378	0.5334	0.0024
OptMatching_bc	1.1659	0.4611	0.0024
