Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.2174	0.4652	0.0083
NoPenSynth	1.1957	0.4637	0.0021
PureSynth	1.2054	0.4595	0.0034
Matching	1.5472	0.5682	0.0073
OptMatching	1.2493	0.4994	0.0102
PenSynth_bc	1.3066	0.5388	0.0017
NoPenSynth_bc	1.2929	0.5346	0.0023
PureSynth_bc	1.3024	0.5385	0.0005
Matching_bc	1.4479	0.5773	0.0044
OptMatching_bc	1.2675	0.5300	0.0004
