Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1981	0.4635	0.0113
NoPenSynth	1.1540	0.4573	0.0033
PureSynth	1.2437	0.4726	0.0115
Matching	1.4761	0.5324	0.0051
OptMatching	1.2038	0.4752	0.0044
PenSynth_bc	1.2139	0.4767	0.0052
NoPenSynth_bc	1.1717	0.4612	0.0035
PureSynth_bc	1.2556	0.4889	0.0080
Matching_bc	1.4376	0.5330	0.0035
OptMatching_bc	1.1697	0.4622	0.0001
