Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.2771	0.4887	0.1350
NoPenSynth	1.2480	0.4863	0.1592
PureSynth	1.2484	0.4854	0.1574
Matching	1.6469	0.6130	0.0847
OptMatching	1.3192	0.5342	0.0823
PenSynth_bc	1.5705	0.6751	0.0177
NoPenSynth_bc	1.5618	0.6704	0.0143
PureSynth_bc	1.5623	0.6705	0.0146
Matching_bc	1.6506	0.6959	0.0283
OptMatching_bc	1.5491	0.6693	0.0117
