Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1884	0.4220	0.0606
NoPenSynth	1.1481	0.4200	0.0936
PureSynth	1.1804	0.4140	0.0614
Matching	1.5158	0.5282	0.0098
OptMatching	1.1880	0.4207	0.0161
PenSynth_bc	1.1957	0.4354	0.0090
NoPenSynth_bc	1.1626	0.4278	0.0045
PureSynth_bc	1.1934	0.4332	0.0045
Matching_bc	1.4082	0.5001	0.0035
OptMatching_bc	1.1448	0.4104	0.0019
