Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1825	0.4158	0.0047
NoPenSynth	1.1429	0.4089	0.0002
PureSynth	1.1775	0.4085	0.0011
Matching	1.5164	0.5275	0.0075
OptMatching	1.1854	0.4190	0.0075
PenSynth_bc	1.1932	0.4348	0.0104
NoPenSynth_bc	1.1624	0.4273	0.0062
PureSynth_bc	1.1932	0.4329	0.0063
Matching_bc	1.4081	0.4999	0.0052
OptMatching_bc	1.1430	0.4101	0.0004
