Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.2119	0.4420	0.0823
NoPenSynth	1.1819	0.4352	0.1117
PureSynth	1.1846	0.4329	0.1063
Matching	1.5997	0.5583	0.0324
OptMatching	1.2419	0.4511	0.0404
PenSynth_bc	1.2279	0.4789	0.0003
NoPenSynth_bc	1.2075	0.4698	0.0009
PureSynth_bc	1.2106	0.4707	0.0023
Matching_bc	1.4202	0.5353	0.0025
OptMatching_bc	1.1916	0.4594	0.0023
