Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1641	0.4412	0.1107
NoPenSynth	1.1105	0.4331	0.1492
PureSynth	1.2238	0.4394	0.0282
Matching	1.4277	0.4948	0.0047
OptMatching	1.1447	0.4191	0.0227
PenSynth_bc	1.1598	0.4263	0.0058
NoPenSynth_bc	1.1071	0.4128	0.0065
PureSynth_bc	1.2254	0.4435	0.0087
Matching_bc	1.4027	0.4903	0.0031
OptMatching_bc	1.1200	0.4089	0.0024
