Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.2259	0.4639	0.1443
NoPenSynth	1.1971	0.4670	0.1979
PureSynth	1.1979	0.4613	0.1873
Matching	1.6026	0.5620	0.0553
OptMatching	1.2425	0.4549	0.0690
PenSynth_bc	1.2310	0.4786	0.0012
NoPenSynth_bc	1.2076	0.4698	0.0015
PureSynth_bc	1.2107	0.4707	0.0029
Matching_bc	1.4203	0.5354	0.0019
OptMatching_bc	1.1896	0.4583	0.0028
