Row	RMSEindiv	RMSEatt	Bias
PenSynth	1.1564	0.4217	0.0003
NoPenSynth	1.0982	0.4059	0.0084
PureSynth	1.2234	0.4383	0.0058
Matching	1.4278	0.4944	0.0045
OptMatching	1.1447	0.4181	0.0024
PenSynth_bc	1.1602	0.4258	0.0041
NoPenSynth_bc	1.1066	0.4123	0.0040
PureSynth_bc	1.2253	0.4434	0.0076
Matching_bc	1.4025	0.4902	0.0037
OptMatching_bc	1.1202	0.4094	0.0001
